Name,Style,Strengths,Weaknesses
Shane del Rosario,striker,"powerful striking, effective combinations, solid footwork","defensive vulnerabilities, grappling defense, stamina issues"
Antonio Silva,heavyweight brawler,"immense power, durability, experience in high-pressure situations","slower movement, cardio limitations, susceptibility to speed"
Erik Perez,well-rounded fighter,"versatile striking, solid grappling, good fight IQ","inconsistent performance, occasional defensive lapses, tendency to engage in brawls"
Joe Proctor,submission specialist,"high-level grappling, effective submissions, strong positional control","striking defense, reliance on ground game, limited knockout power"
Jeremy Larsen,aggressive striker,"high output striking, relentless pressure, good chin","defensive liabilities, grappling weaknesses, potential for overextending"
Cristiano Marcello,submission specialist,"high-level grappling, effective submissions, strong positional control","limited striking power, can be outpaced, struggles against aggressive strikers"
Sam Sicilia,brawler,"powerful striking, aggressive pressure, resilience in exchanges","defensive vulnerabilities, tends to brawl instead of strategize, cardio issues in later rounds"
Myles Jury,technical striker,"well-rounded skill set, effective footwork, strong fight IQ","can be hesitant to engage, lacks knockout power, may struggle against relentless pressure"
Chris Saunders,counter striker,"excellent timing, strong defensive skills, ability to exploit openings","can be overly cautious, struggles against high-volume attackers, limited grappling"
Daron Cruickshank,kickboxer,"diverse striking arsenal, powerful kicks, good movement","grappling defense can be exploited, inconsistent performance, sometimes lacks urgency"
Chris Tickle,striker,"dynamic striking, effective distance management, solid footwork","defensive grappling, susceptibility to pressure, inconsistent output"
Justin Lawrence,kickboxer,"powerful kicks, quick combinations, good head movement","grappling defense, cardio concerns, over-reliance on striking"
John Cofer,wrestler,"strong takedowns, ground control, effective clinch work","limited striking volume, slow pace, vulnerability to submissions"
Michael Chiesa,submission specialist,"excellent grappling, high-level submissions, strong positional control","striking defense, can be outpaced, relies heavily on grappling"
Al Iaquinta,brawler,"powerful punches, aggressive pressure, strong takedown defense","defensive vulnerabilities, limited submission game, can be outmaneuvered"
Buddy Roberts,striker,"excellent striking accuracy, strong defensive skills, good footwork","limited grappling ability, can be overly reliant on striking, sometimes lacks aggression"
Caio Magalhaes,submission specialist,"high-level grappling, effective at securing submissions, strong positional control","struggles against powerful strikers, can be taken down, less effective in stand-up exchanges"
Joey Gambino,brawler,"heavy hands, relentless pressure, good chin","defensive vulnerabilities, limited technical striking, can tire out quickly"
Brock Jardine,pressure wrestler,"strong takedown ability, effective ground control, cardio for sustained pressure","striking defense can be lacking, may struggle against counter-strikers, relies heavily on wrestling"
CJ Keith,technical striker,"precise striking, good fight IQ, effective at range","vulnerable to takedowns, can be hesitant to engage, sometimes lacks finishing instinct"
Milton Vieira,submission specialist,"high-level grappling, excellent submission transitions, strong positional control","striking defense, cardio concerns, limited striking output"
Marcos Vinicius,brawler,"powerful strikes, aggressive fighting style, high pressure on opponents","defensive vulnerabilities, lack of technical finesse, susceptibility to counterattacks"
Wagner Campos,technical striker,"precise striking, good footwork, effective distance management","grappling defense, potential for over-reliance on striking, slower pace"
Thiago Perpetuo,pressure wrestler,"relentless takedown attempts, strong ground control, ability to wear down opponents","striking output can be low, stamina issues in later rounds, vulnerability to submissions"
Leonardo Mafra,all-rounder,"versatile skill set, adaptability in fights, balanced striking and grappling","inconsistency in performance, may lack finishing instinct, sometimes hesitant to engage"
John Teixeira,submission specialist,"excellent grappling, high-level submissions, strong positional control","limited striking volume, vulnerability to stand-up exchanges"
Hugo Viana,striker,"powerful punches, good footwork, effective counter-striking","defensive lapses, struggles against grapplers"
Delson Heleno,pressure fighter,"relentless pace, strong clinch game, cardio endurance","susceptible to counterattacks, can be outmaneuvered"
Francisco Trinaldo,brawler,"heavy hands, durability, aggressive fighting style","limited technical striking, can be outpaced"
Anistavio Medeiros,all-rounder,"versatile skill set, adaptability, solid wrestling","inconsistent performance, lacks finishing ability"
Rodrigo Damm,well-rounded technician,"solid grappling, effective striking, good fight IQ","inconsistent pace, vulnerability to pressure, limited knockout power"
Hacran Dias,pressure striker,"high-volume striking, strong cardio, effective defensive grappling","limited finishing ability, can be outpaced, struggles against elite wrestlers"
Godofredo Pepey,submission specialist,"creative grappling, dangerous submissions, unpredictable striking","defensive vulnerabilities, inconsistent striking accuracy, cardio concerns in later rounds"
Rony Jason,dynamic striker,"explosive striking, strong kicking game, adaptability in fights","defensive gaps, susceptibility to takedowns, can be overly aggressive"
Cezar Ferreira,pressure wrestler,"strong wrestling base, effective ground control, powerful striking","limited striking variety, can be outmaneuvered, stamina issues in prolonged exchanges"
Sergio Moraes,submission specialist,"excellent grappling, high-level jiu-jitsu, strong submission game","limited striking, can be taken down, slow pace"
Marcelo Guimaraes,well-rounded fighter,"solid striking, good grappling, effective in transitions","inconsistent fight IQ, defensive vulnerabilities, lacks knockout power"
Mitch Gagnon,pressure wrestler,"strong takedowns, relentless pace, cardio endurance","striking defense issues, can be outpaced, susceptible to submissions"
Ryan Jimmo,striker,"powerful striking, good footwork, effective counter-striking","grappling defense, limited ground game, can be outmaneuvered"
Hector Lombard,brawler,"explosive power, aggressive fighting style, strong clinch work","cardio issues, over-reliance on power, defensive lapses"
John Moraga,well-rounded striker,"excellent footwork, strong boxing skills, good grappling defense","inconsistent output, vulnerability to leg kicks, sometimes overcommits"
Ulysses Gomez,submission specialist,"high-level grappling, effective in transitions, good at finding submissions","limited striking range, can be taken down, struggles against powerful wrestlers"
